X,Y
783,3.204698446
1352,2.57133835
197,1.896698444
1455,3.955961316
632,1.97231132
149,2.151841649
159,2.511606793
184,2.443047077
1180,2.615231653
1090,2.174503503
953,2.587933553
243,1.767691526
129,1.588525915
590,1.853895599
166,2.041286602
161,1.826000114
1807,3.535095239
1913,3.485530492
685,2.234030006
683,2.067957081
725,2.383432193
1412,2.8861567
964,3.621339134
1161,2.885106844
1642,3.369892523
900,3.454242951
1722,3.52309143
2742,4.684651995
673,2.86888841
494,2.184881237
180,2.714316933
112,2.170743582
167,2.719482148
106,1.642143084
1353,2.819885417
95,1.728789839
110,2.203263645
1881,2.90935417
3068,6.353093973
2330,4.406171679
724,2.714014539
617,2.575471645
189,2.636678993
177,2.622804003
310,2.755816156
137,2.155428938
87,1.803436727
152,2.074223799
909,2.351991937
1940,3.582578334
1877,4.159605949
1536,2.685173225
1417,2.751658466
271,2.070532758
76,1.636319535
127,2.137650102
90,1.780021182
2064,4.473038499
2642,4.037744099
1945,3.599341892
1731,3.212411893
63,1.695182239
68,2.034115191
1614,3.444965911
71,2.286084302
310,2.482605523
119,2.161264288
122,1.972952009
530,2.443856712
168,2.190713746
